NAME,DECLARATION,DESCRIPTION
AddCell,"void AddCell(const UWorldPartitionRuntimeCell* Cell, const FWorldPartitionStreamingSource& Source, const FSphericalSector& SourceShape) {}",Use version that takes FWorldPartitionStreamingContext instead.
AddChild,TSharedPtr<FGraphActionNode> AddChild(FGraphActionListBuilderBase::ActionGroup const& ActionSet);,"FGraphActionListBuilderBase::ActionGroup has been deprecated, use TSharedPtr<FEdGraphSchemaAction> directly"
AddChildAlphabetical,TSharedPtr<FGraphActionNode> AddChildAlphabetical(FGraphActionListBuilderBase::ActionGroup const& ActionSet);,"FGraphActionListBuilderBase::ActionGroup has been deprecated, use TSharedPtr<FEdGraphSchemaAction> directly"
AddCloth,virtual void AddCloth(const TSharedPtr< IDatasmithClothElement >& InElement) override;,The experimental Cloth importer is no longer supported.
AddCloth,virtual void AddCloth(const TSharedPtr< IDatasmithClothElement >& InElement) = 0;,The experimental Cloth importer is no longer supported.
AddDecoder,virtual void AddDecoder(ICompressedAudioInfo* CompressedAudioInfo) { LogWarning(); },Use These methods are no longer used (removing the unused legacy streaming manager)
AddDirtyArea,"NAVIGATIONSYSTEM_API void AddDirtyArea(const FBox& NewArea, int32 Flags, const FName& DebugReason = NAME_None);",Use the version taking ENavigationDirtyFlag instead.
AddDirtyArea,"NAVIGATIONSYSTEM_API void AddDirtyArea(const FBox& NewArea, int32 Flags, const TFunction<UObject*()>& ObjectProviderFunc, const FName& DebugReason = NAME_None);",Use the version taking ENavigationDirtyFlag instead.
AddDirtyAreas,"NAVIGATIONSYSTEM_API void AddDirtyAreas(const TArray<FBox>& NewAreas, int32 Flags, const FName& DebugReason = NAME_None);",Use the version taking ENavigationDirtyFlag instead.
AddGenericPackageToGenerate,"virtual const FWorldPartitionCookPackage* AddGenericPackageToGenerate(IWorldPartitionCookPackageGenerator* Generator, const FString& Root, const FString& RelativePath) { return nullptr; }",Use AddPackageToGenerate instead.
AddLevelStreamingPackageToGenerate,"virtual const FWorldPartitionCookPackage* AddLevelStreamingPackageToGenerate(IWorldPartitionCookPackageGenerator* Generator, const FString& Root, const FString& RelativePath) { return nullptr; }",Use AddPackageToGenerate instead.
AddNode,"NAVIGATIONSYSTEM_API void AddNode(UObject* ElementOb, INavRelevantInterface* NavElement, const FBox& Bounds, FNavigationOctreeElement& Data);",Use the overloaded version with only FBox and FNavigationOctreeElement instead.
AddNonWarpingLevel,void AddNonWarpingLevel(),This function is no longer used. Please update your code to use time-based breadcrumbs instead.
AddPermissionList,"void AddPermissionList(TSoftObjectPtr<const UStruct> Struct, const FNamePermissionList& PermissionList, const EPropertyPermissionListRules Rules = EPropertyPermissionListRules::UseExistingPermissionList);",Call AddPermissionList with additional required arguments instead.
AddPin,virtual UE::Dataflow::FPin AddPin() { return UE::Dataflow::FPin::InvalidPin; },Use AddPins method instead
AddRange,"void AddRange(const TRange<FFrameNumber>& RootSpaceRange, FMovieSceneSequenceIDRef InSequenceID, ESectionEvaluationFlags InFlags, FMovieSceneWarpCounter RootToSequenceWarpCounter);",The RootToSequenceWarpCounter parameter is no longer required or supported
AddRasterizeToRectsPass,static inline void AddRasterizeToRectsPass(,Use the other prototype of AddRasterizeToRectsPass that takes a ERDGPassFlags in parameter and use ERDGPassFlags::SkipRenderPass in lieu of bSkipRenderPass == true
AddSaveOverride,"void AddSaveOverride(UObject* Target, FObjectSaveOverride InOverride)",Calling AddSaveOverride in UObject::PreSave is deprecated. Override UObject::CollectSaveOverrides and call AddSaveOverride on its context instead.
AddStreamingSoundSource,virtual void AddStreamingSoundSource(FSoundSource* SoundSource) { LogWarning(); },Use These methods are no longer used (removing the unused legacy streaming manager)
AddStreamingSoundWave,virtual void AddStreamingSoundWave(const FSoundWaveProxyPtr& SoundWave) { LogWarning(); },Use These methods are no longer used (removing the unused legacy streaming manager)
AddThreadedShaderPipelineRequest,ENGINE_API void AddThreadedShaderPipelineRequest(,RequestShaderIds is needed for AddThreadedShaderPipelineRequest and need to match the ones from FMaterialShaderMap::GetShaderList
AddTorque,"CHAOS_API void AddTorque(TArrayView<const FPhysicsObjectHandle> InObjects, const FVector& Torque, bool bInvalidate);",This version of AddTorque has been deprecated. Please use the version with @param bAccelChange
AddUniformBufferIncludesToEnvironment,"inline void AddUniformBufferIncludesToEnvironment(FShaderCompilerEnvironment& OutEnvironment, const TSet<const TCHAR*, TStringPointerSetKeyFuncs_DEPRECATED<const TCHAR*>>& InUniformBufferNames) {}",AddUniformBufferIncludesToEnviroment now takes a set of FShaderParametersMetadata pointers
AddWarpingLevel,void AddWarpingLevel(uint32 WarpCount),This function is no longer used. Please update your code to use time-based breadcrumbs instead.
AllocatePermanentObjectPool,COREUOBJECT_API void AllocatePermanentObjectPool(int32 InPermanentObjectPoolSize) {},Permanent Object Pool is handled by the global instance of FLinearAllocator now
AngleIsBuckled,"bool AngleIsBuckled(const FSolverReal Angle, const FSolverReal RestAngle) const",This version is deprecated and will produce the incorrect result if BucklingRatio is weighted. Use version that takes a ConstraintIndex instead.
AppendExportBunches,ENGINE_API virtual void AppendExportBunches( TArray< FOutBunch* >& OutExportBunches ) override;,Use GetAdditionalRequiredBunches
AppendExportBunches,ENGINE_API virtual void AppendExportBunches(TArray< FOutBunch* >& OutExportBunches);,Use GetAdditionalRequiredBunches
AppendExportBunches,ENGINE_API void AppendExportBunches(TArray<FOutBunch *>& OutgoingBunches);,Use GetAdditionalRequiredBunches
AppendStaticParametersString,void AppendStaticParametersString(FString& ParamsString) const;,"Internal function only, called through AppendKeyString."
AppendStreamingSourceInfo,"inline void AppendStreamingSourceInfo(const FWorldPartitionStreamingSource& Source, const FSphericalSector& SourceShape) {}",Use version that takes FWorldPartitionStreamingContext instead.
AppendStreamingSourceInfo,"ENGINE_API virtual void AppendStreamingSourceInfo(const FWorldPartitionStreamingSource& Source, const FSphericalSector& SourceShape) const {}",Use version that takes FWorldPartitionStreamingContext instead.
AppendToNode,"NAVIGATIONSYSTEM_API void AppendToNode(const FOctreeElementId2& Id, INavRelevantInterface* NavElement, const FBox& Bounds, FNavigationOctreeElement& Data);",Use the overloaded version with FNavigationElement instead.
ApplyColorConversion,"bool ApplyColorConversion(FTextureRHIRef& InSrcTexture, FTextureRHIRef& InDstTexture)",The overload of IMediaTextureSampleColorConverter::ApplyColorConversion which does not take an RHI command list is deprecated.
AreDataStorageInterfacesSet,TYPEDELEMENTFRAMEWORK_API bool AreDataStorageInterfacesSet() const;,Use UE::Editor::DataStorage::AreDataStorageInterfacesSet instead.
AreNormalsAndTangentsValid,"static void AreNormalsAndTangentsValid(const FMeshDescription& MeshDescription, bool& bHasInvalidNormals, bool& bHasInvalidTangents)",Use HasInvalidVertexInstanceNormalsOrTangents
ArrayUnderflowClamp,SIGNALPROCESSING_API void ArrayUnderflowClamp(TArrayView<float> InOutBuffer);,Audio code relies on denormals flush to zero floating point mode from now on. Please use FScopedFTZFloatMode instead of this API
AsLegacyLinearTimeTransform,MOVIESCENE_API FMovieSceneTimeTransform AsLegacyLinearTimeTransform() const;,This function is no longer supported. Please use FMovieSceneInverseSequenceTransform directly.
AttachLinker,COREUOBJECT_API void AttachLinker(FLinkerLoad* InLinker);,AttachLinker is not necessary. Remove calls to it.
AttachToLinker,void AttachToLinker(UMovieSceneEntitySystemLinker* InLinker) {},"Runners are now owned by linkers, and always attached"
authenticatio,"int32			ResponseId;				// Id assigned by the server for linking responses to connections upon authentication",Variable is deprecated and unassigned
bAdvancedMode,bool bAdvancedMode;,Use Get/SetAdvancedMode()
BakeToSkelMeshToCallbacks,"static bool BakeToSkelMeshToCallbacks(UMovieScene* MovieScene, IMovieScenePlayer* Player,",BakeToSkelMeshToCallbacks taking movie scene has been deprecated in favor of a new function that takes current and root movie scene sequences
BaseInstancePrefixSum,TArray<uint32> BaseInstancePrefixSum;,Providing BaseInstancePrefixSum is no longer necessary.
BBoxGrowth,FVector BBoxGrowth;,Use BBoxGrowthLow and BBoxGrowthHigh instead.
bDisableBugIt,bool bDisableBugIt;,Use Get/SetDisableBugIt()
bDisablePIE,bool bDisablePIE;,Use Get/SetDisablePIE()
Begin,"virtual void Begin(IMovieScenePlayer* Player, const UE::MovieScene::FEvaluationHookParams& Params) const {}",Please implement the version that takes a SharedPlaybackState
BeginFrame,void BeginFrame() {},FRHICommandListImmediate::BeginFrame() is deprecated and is no longer necessary. Remove any remaining calls to BeginFrame(). There is no replacement.
BeginScene,void BeginScene() {},FRHICommandListImmediate::BeginScene() is deprecated and is no longer necessary. Remove any remaining calls to BeginScene(). There is no replacement.
BindStreamSource,"virtual void BindStreamSource(class FRHICommandList& RHICmdList, int32 StreamIndex, uint32 InstanceOffset) {}",Use GetStreamSource instead
bIsConstFunc:1,uint32 bIsConstFunc:1;,bIsConstFunc is deprecated. Check for FUNC_Const on FunctionReference.ResolveMember<UFunction>() instead.
bIsDisabled,static CORE_API bool bIsDisabled;,Use IsEnabled instead.
bIsInterfaceCall:1,uint32 bIsInterfaceCall:1;,bIsInterfaceCall is deprecated. Check for CLASS_Interface on FunctionReference.GetMemberParentClass() instead.
bIsPureFunc:1,uint32 bIsPureFunc:1;,bIsPureFunc is deprecated. Use bDefaultsToPureFunc or IsNodePure instead.
bool,explicit operator bool() const,Use IsExpired() instead.
BroadcastEnumPostStateChange,UMG_API void BroadcastEnumPostStateChange(const FWidgetStateBitfield& StateChange);,FWidgetStateBitfield currently no longer supports enum states
bStopMovementAbortPaths_DEPRECATED:1,uint8 bStopMovementAbortPaths_DEPRECATED:1;,"bStopMovementAbortPaths is deprecated, please use NavMovementProperties.bStopMovementAbortPaths instead."
BucklingRatio,FSolverReal BucklingRatio;,Scalar Buckling Ratio has been deprecated. Use BucklingRatioWeighted instead.
Buffer,FSoundBuffer* Buffer;,This is no longer used and should not be accessed directly.
BufferCommand,"CHAOS_API void BufferCommand(Chaos::FPBDRigidsSolver* RigidsSolver, const FFieldSystemCommand& Command);",Use BufferFieldCommand_Internal instead when calling on the physics thread or the _external version when calling on the gamethread
Buffers,"TArray<FSoundBuffer*>			Buffers;",This is no longer used and should not be accessed directly.
Build,virtual bool Build(,Use FStaticMeshBuildParameters instead.
Build,"virtual bool Build(FStaticMeshRenderData& OutRenderData, UStaticMesh* StaticMesh, const FStaticMeshLODGroup& LODGroup, bool bAllowNanite) override",Use FStaticMeshBuildParameters instead.
Build,virtual bool Build(,Use FStaticMeshBuildParameters instead.
BuildCompactHeightField,"NAVIGATIONSYSTEM_API bool BuildCompactHeightField(FNavMeshBuildContext& BuildContext, FTileRasterizationContext& RasterContext);",Use the new version without RasterContext instead.
BuildMesh,"virtual bool BuildMesh(class FStaticMeshRenderData& OutRenderData, class UObject* Mesh, const class FStaticMeshLODGroup& LODGroup, bool bAllowNanite) = 0;",Use FStaticMeshBuildParameters instead.
BuildRayTracingInstanceBuffer,inline void BuildRayTracingInstanceBuffer(,GPUInstances no longer supported. Use GPUSceneInstances instead.
BusyWait,"inline void BusyWait(const TaskType& Task, bool ForceAllowBackgroundWork = false);",This method will be removed.
BusyWait,"inline void BusyWait(const TArrayView<const TaskType>& Tasks, bool ForceAllowBackgroundWork = false);",This method will be removed.
BusyWait,"bool BusyWait(const TaskCollectionType& Tasks, FTimespan InTimeout = FTimespan::MaxValue());",Use Wait instead.
BusyWait,bool BusyWait(FTimespan Timeout = FTimespan::MaxValue()) const,Use Wait instead.
BusyWait,bool BusyWait(ConditionType&& Condition) const,This method will be removed.
BusyWait,"bool BusyWait(const TaskCollectionType& Tasks, FTimespan InTimeout/* = FTimespan::MaxValue()*/)",Use Wait instead.
BusyWait,bool BusyWait(FTimeout Timeout),Use Wait instead
BusyWait,bool BusyWait(ConditionType&& Condition),This method will be removed.
BusyWaitForTask,"FORCEINLINE_DEBUGGABLE void BusyWaitForTask(const FTask& Task, bool ForceAllowBackgroundWork = false)",This method will be removed.
BusyWaitForTasks,"FORCEINLINE_DEBUGGABLE void BusyWaitForTasks(const TArrayView<const TaskType>& Tasks, bool ForceAllowBackgroundWork = false)",This method will be removed.
BusyWaitUntil,"inline void BusyWaitUntil(Conditional&& Cond, bool ForceAllowBackgroundWork = false);",This method will be removed.
BusyWaitUntil,"FORCEINLINE_DEBUGGABLE void BusyWaitUntil(Conditional&& Cond, bool ForceAllowBackgroundWork = false)",This method will be removed.
Bypass,RHI_API static bool Bypass();,"Don't call Bypass() on an FRHIResource. Use the Bypass() function on an FRHICommandList instance, or the FRHICommmandListExecutor."
CacheBeginTime,float CacheBeginTime;,No longer used
CacheType,EGeometryCollectionCacheType CacheType;,No longer used
CalcRayTracingGeometrySize,FORCEINLINE FRayTracingAccelerationStructureSize CalcRayTracingGeometrySize(const FRayTracingGeometryInitializer& Initializer),Use the global scope RHICalcRayTracingGeometrySize function instead.
CalculateLocalPixelToWorldScale,INTERACTIVETOOLSFRAMEWORK_API float CalculateLocalPixelToWorldScale(,This function was moved to the UE::GizmoRenderingUtil namespace.
CalculateLocalPixelToWorldScale,INTERACTIVETOOLSFRAMEWORK_API float CalculateLocalPixelToWorldScale(,This function was moved to the UE::GizmoRenderingUtil namespace.
CalculateViewDependentScaleAndFlatten,INTERACTIVETOOLSFRAMEWORK_API float CalculateViewDependentScaleAndFlatten(,This function was moved to the UE::GizmoRenderingUtil namespace.
CanConstructPropertyUpdatedWidgetBuilder,PROPERTYEDITOR_API virtual bool CanConstructPropertyUpdatedWidgetBuilder() const;,Experimental API
CanCreateSoundSource,virtual bool CanCreateSoundSource(const FWaveInstance* WaveInstance) const { LogWarning(); return false; },Use These methods are no longer used (removing the unused legacy streaming manager)
CanSkipEditorReferencedPackagesWhenCooking,inline bool CanSkipEditorReferencedPackagesWhenCooking() { return false; },No longer used; skiponlyeditoronly is used instead and tracks editoronly references via savepackage results.
ClearEnumState,UMG_API void ClearEnumState(const FWidgetStateBitfield& EnumStateBitfield);,FWidgetStateBitfield currently no longer supports enum states
ClearEnumState,UMG_API void ClearEnumState(uint8 EnumStateIndex);,FWidgetStateBitfield currently no longer supports enum states
ClearEnumState,UMG_API void ClearEnumState(FName EnumStateName);,FWidgetStateBitfield currently no longer supports enum states
ClearRayTracingBindings,FORCEINLINE_DEBUGGABLE void ClearRayTracingBindings(FRHIRayTracingScene* Scene),Use FRHIShaderBindingTable instead.
ClearUnreachable,FORCEINLINE void ClearUnreachable(),ClearUnreachable() can only be used by the garbage collector.
Clothes,TDatasmithReferenceArrayProxy<IDatasmithClothElement>            Clothes;,The experimental Cloth importer is no longer supported.
CollectSearchTextWeightInfo,"ENGINE_API int32 CollectSearchTextWeightInfo(const FGraphActionListBuilderBase::ActionGroup& InCurrentAction, const FGraphSchemaSearchWeightModifiers& InWeightModifiers,","FGraphActionListBuilderBase::ActionGroup weight calculation was always performed on the first action, provide that if scoring a FGraphActionListBuilderBase::ActionGroup, or just provide the FEdGraphSchemaAction"
Commit,"ENGINE_API void Commit(FRHICommandList& RHICmdList, FRHIBuffer* ScratchBuffer);",This function has been deprecated. Use the version that takes GraphBuilder as input.
CommitRayTracingBindings,FORCEINLINE_DEBUGGABLE void CommitRayTracingBindings(FRHIRayTracingScene* Scene),Use FRHIShaderBindingTable instead.
CompileOfflineMali,"extern SHADERCOMPILERCOMMON_API void CompileOfflineMali(const FShaderCompilerInput &Input, FShaderCompilerOutput& ShaderOutput, const ANSICHAR* ShaderSource, const int32 SourceSize, bool bVulkanSpirV, const ANSICHAR* VulkanSpirVEntryPoint = nullptr);",CompileOfflineMali is no longer used; CompileShaderOffline is used instead to support different compilers instead of Mali itself.
Compress,"virtual bool Compress(void* CompressedBuffer, int32& CompressedSize, const void* UncompressedBuffer, int32 UncompressedSize, int32 CompressionData, ECompressionFlags Flags) { return false; };",Switch to 64 bit version for memory sizes
CompressRawAnimSequenceTrack,"ENGINE_API bool CompressRawAnimSequenceTrack(FRawAnimSequenceTrack& RawTrack, int32 NumberOfKeys, FName ErrorName, float MaxPosDiff, float MaxAngleDiff);",CompressRawAnimSequenceTrack requires the MaxScaleDiff argument
ComputeScratchBufferSize,RENDERER_API uint32 ComputeScratchBufferSize();,Use AddDynamicGeometryUpdatePass instead which allocates scratch buffer internally.
ConditionalPreprocessShader,extern RENDERCORE_API bool ConditionalPreprocessShader(FShaderCommonCompileJob* Job);,"ConditionalPreprocessShader is now just PreprocessShader (no longer conditional, always executes in the main process at job submission time)"
ConstructPropertyUpdatedWidgetBuilder,PROPERTYEDITOR_API virtual TSharedPtr<FPropertyUpdatedWidgetBuilder> ConstructPropertyUpdatedWidgetBuilder(const FConstructPropertyUpdatedWidgetBuilderArgs& Args);,Experimental API
ContainsDefinition,RENDERCORE_API bool ContainsDefinition(FName Name) const;,ContainsDefinition will be made private in the future and should not be called by downstream code.
Convert,"bool Convert(FTextureRHIRef& InDstTexture, const FConversionHints& Hints)",The overload of IMediaTextureSampleConverter::Convert which does not take an RHI command list is deprecated.
ConvertActors,"UNREALED_API void ConvertActors( const TArray<AActor*>& ActorsToConvert, UClass* ConvertToClass, const TSet<FString>& ComponentsToConsider, bool bUseSpecialCases = false );",Please use UEditorActorSubsystem::ConvertActors instead.
ConvertActorsFromClass,"UNREALED_API void ConvertActorsFromClass( UClass* FromClass, UClass* ToClass );",Please use UEditorActorSubsystem::ConvertActorsFromClass instead.
ConvertBrushesToStaticMesh,"UNREALED_API AActor* ConvertBrushesToStaticMesh(const FString& InStaticMeshPackageName, TArray<ABrush*>& InBrushesToConvert, const FVector& InPivotLocation);",Please use UEditorActorSubsystem::ConvertBrushesToStaticMesh instead.
ConvertLightActors,UNREALED_API void ConvertLightActors( UClass* ConvertToClass );,Please use UEditorActorSubsystem::ConvertLightActors instead.
ConvertQualtiyLevelData,"TMap<int32, _ValueType> ConvertQualtiyLevelData(const TMap<EPerQualityLevels, _ValueType>& Data)",Use ConvertQualityLevelData.
ConvertQualtiyLevelData,"TMap<EPerQualityLevels, _ValueType> ConvertQualtiyLevelData(const TMap<int32, _ValueType>& Data)",Use ConvertQualityLevelData.
ConvertQualtiyLevelData,"void ConvertQualtiyLevelData(TMap<FName, _ValueType>& PlatformData, TMultiMap<FName, FName>& PerPlatformToQualityLevel, _ValueType Default)",Use ConvertQualityLevelData
ConvertSelectedBrushesToVolumes,UNREALED_API void ConvertSelectedBrushesToVolumes( UClass* VolumeClass );,Please use UEditorActorSubsystem::ConvertSelectedBrushesToVolumes instead.
CookByTheBookFinished,static COREUOBJECT_API FCookInfoEvent CookByTheBookFinished;,"Use CookFinished, possibly restricting to the case CookInfo.GetCookType() == ECookType::ByTheBook."
CookByTheBookStarted,static COREUOBJECT_API FCookInfoEvent CookByTheBookStarted;,"Use CookStarted, possibly restricting to the case CookInfo.GetCookType() == ECookType::ByTheBook."
CopyBuffer,"FORCEINLINE void CopyBuffer(FRHIBuffer* SourceBuffer, FRHIBuffer* DestBuffer)",CopyBuffer is deprecated. Use CopyBufferRegion.
CreateCloth,static TSharedRef< IDatasmithClothElement > CreateCloth( const TCHAR* InName );,The experimental Cloth importer is no longer supported.
CreateClothActor,static TSharedRef< IDatasmithClothActorElement > CreateClothActor(const TCHAR* InName);,The experimental Cloth importer is no longer supported.
CreateClothAsset,"virtual UObject* CreateClothAsset(UObject* Outer, const FName& Name, EObjectFlags Flags) const",The experimental Cloth importer is no longer supported.
CreateClothComponent,virtual USceneComponent* CreateClothComponent(UObject* Outer) const,The experimental Cloth importer is no longer supported.
CreateCurveEditorModelDeprecatedSignature,void CreateCurveEditorModelDeprecatedSignature(),"CreateCurveEditorModel(const TMovieSceneChannelHandle<T>&, UMovieSceneSection*, TSharedRef<ISequencer>) has been deprecated. Please update your signature to use FCreateCurveEditorModelParams"
CreateHeightField,"NAVIGATIONSYSTEM_API bool CreateHeightField(FNavMeshBuildContext& BuildContext, FTileRasterizationContext& RasterContext);",Use the new version without RasterContext instead.
CreateKeyEditorDeprecatedSignature,void CreateKeyEditorDeprecatedSignature(),"CreateKeyEditor(const TMovieSceneChannelHandle<T>&, UMovieSceneSection*, const FGuid&, TWeakPtr<FTrackInstancePropertyBindings>, TWeakPtr<ISequencer>); has been deprecated. Please update your signature to use FCreateKeyEditorParams"
CreateLayerEditorSettingsFor,LANDSCAPE_API void CreateLayerEditorSettingsFor(ULandscapeLayerInfoObject* LayerInfo) {},"This property has been deprecated, please use the CreateTargetLayerSettingsFor instead"
CreateLayerFrom,LANDSCAPE_API int32 CreateLayerFrom(const FLandscapeLayer& InLayer);,Use DuplicateLayerAndMoveBrushes
CreateNavigationSystem,static NAVIGATIONSYSTEM_API UNavigationSystemV1* CreateNavigationSystem(UWorld* WorldOwner);,This creation flow is deprecation. Use FNavigationSystem::AddNavigationSystemToWorld instead.
CreateRayTracingSceneWithGeometryInstances,RENDERER_API FRayTracingSceneWithGeometryInstances CreateRayTracingSceneWithGeometryInstances(,Use FRHIShaderBindingTable instead.
CreateShaderArchive,"virtual bool CreateShaderArchive(FString const& LibraryName,",Use version accepting a TArray of FSharedBuffer code buffers.
CreateSubsurfaceProfileParameterName,ENGINE_API FName CreateSubsurfaceProfileParameterName(const USubsurfaceProfile* InProfile);,"Please, use the name space SubsurfaceProfile::"
CreateTargetShaderFormatsPropertyView,"void CreateTargetShaderFormatsPropertyView(ITargetPlatform* TargetPlatform, GetFriendlyNameFromRHINameFnc* FriendlyNameFnc, FilterShaderPlatformFnc* FilterShaderPlatformFunc = nullptr, ECategoryPriority::Type InPriority = ECategoryPriority::Default);",CreateTargetShaderFormatsPropertyView now takes a ITargetPlatformSettings* as first argument instead of ITargetPlatform*. Please change your callback function as this is a breaking change.
CreateWorldBrowserHierarchy,virtual TSharedRef<SWidget> CreateWorldBrowserHierarchy();,Use CreateWorldBrowserHierarchyWidget instead.
CustomizeChildren,"virtual	void CustomizeChildren(TSharedRef<IPropertyHandle> StructPropertyHandle, IDetailChildrenBuilder& StructBuilder, IPropertyTypeCustomizationUtils& StructCustomizationUtils) {}",This method is mo longer used. Please use MakeEditUI to create your editor display within a popup window per-fragment
Data,FGenericMemoryStatsMap Data;,Using Data directly is deprecated and will be made private. Use methods on FGenericMemoryStats directly.
DeactivateEditorMode,virtual void DeactivateEditorMode() {},This method is deprecated.
DebugName,FString DebugName;,Please use the DebugFName instead
DebugVerifySkeletalMeshLOD,ENGINE_API void DebugVerifySkeletalMeshLOD();,Use GetLODInfo()->ScreenSize to manually verify a LOD's screen size settings.
DECLARE_DELEGATE_OneParam,"DECLARE_DELEGATE_OneParam(FOnNavRelevantObjectRegistrationEvent, INavRelevantInterface&);",Use the overloaded version with FNavigationElement instead.
DECLARE_DELEGATE_RetVal_OneParam,"DECLARE_DELEGATE_RetVal_OneParam(bool, FOnGetCurrentVector4Value, FVector4&)",Color grading widgets and associated types have moved to the AdvancedWidgets module.
DECLARE_DELEGATE_TwoParams,"DECLARE_DELEGATE_TwoParams(FNavRelevantGeometryExportDelegate, INavRelevantInterface&, FNavigationRelevantData&);",Use FGeometryExportDelegate.
DECLARE_MULTICAST_DELEGATE_OneParam,"DECLARE_MULTICAST_DELEGATE_OneParam(FOnAssetsAddExtraObjectsToDelete, TArray<UObject*>&);","FOnAssetsAddExtraObjectsToDelete has been deprecated, please use FOnAddExtraObjectsToDelete instead"
DecompressShader,"RENDERCORE_API void DecompressShader(int32 Index, const TArray<TArray<uint8>>& ShaderCode, TArray<uint8>& OutDecompressedShader) const",Use overload accepting a TArray<FSharedBuffer> for shader code
DemandChildLazyDataGathering,"NAVIGATIONSYSTEM_API void DemandChildLazyDataGathering(FNavigationRelevantData& ElementData, INavRelevantInterface& ChildNavInterface);",Use the overloaded version with FNavigationElement instead.
DestroySpawnedObject,virtual void DestroySpawnedObject(UObject& Object) {},Please use the version of this with CustomSpawnableBinding
DetachFromLinker,void DetachFromLinker() {},"Runners are now owned by linkers, and always attached"
DetachFromLinkers,COREUOBJECT_API void DetachFromLinkers();,DetachFromLinkers is not necessary. Remove calls to it.
DetachLinker,COREUOBJECT_API void DetachLinker(FLinkerLoad* InLinker);,DetachLinker is not necessary. Remove calls to it.
DisableLevelInstanceSupport,void DisableLevelInstanceSupport() { bIsLevelInstanceDisabled = true; },Use SetIsLevelInstanceDisabled instead.
DisablePersistentAuxiliary,static inline void DisablePersistentAuxiliary() {},Persistent Auxiliary allocator is obsolete and is replaced by a GetPersistentLinearAllocator()
Discard,static FRHITransientAliasingInfo Discard(class FRHITexture* Texture),Discard aliasing ops are no longer necessary.
Discard,static FRHITransientAliasingInfo Discard(class FRHIBuffer* Buffer),Discard aliasing ops are no longer necessary.
DiscardRenderTargets,"FORCEINLINE void DiscardRenderTargets(bool Depth, bool Stencil, uint32 ColorBitMask)",DiscardRenderTargets is deprecated and will be removed in future engine versions.
DispatchDraw,"void DispatchDraw(FParallelCommandListSet* ParallelCommandListSet, FRHICommandList& RHICmdList, const FInstanceCullingDrawParams* InstanceCullingDrawParams = nullptr) const;",Use Draw / Dispatch instead.
DispatchUpdates,"RENDERER_API void DispatchUpdates(FRHICommandList& RHICmdList, FRHIBuffer* ScratchBuffer);",Use AddDynamicGeometryUpdatePass instead.
DisplayMessages,"LANDSCAPE_API void DisplayMessages(class FCanvas* Canvas, float& XPos, float& YPos);",DisplayMessages is now deprecated.
DoConvertActors,"UNREALED_API void DoConvertActors( const TArray<AActor*>& ActorsToConvert, UClass* ConvertToClass, const TSet<FString>& ComponentsToConsider, bool bUseSpecialCases, const FString& InStaticMeshPackageName );",Please use UEditorActorSubsystem::DoConvertActors instead.
DoesPackageExist,"bool DoesPackageExist(const FPackagePath& PackagePath, EPackageSegment PackageSegment,",Use the overload that takes a FBulkDataCookedIndex
